UNIVERSITY,PROGRAMS SPEMAJ,HEAD COUNT
Trent,4.09.99 - Other area studies,145
Trent,5.09.99 - Other biology,543
Trent,3.17.00 - Other mass communication studies,14
Trent,8.30.99 - Other physics,37
Trent,3.21.00 - Philosophy,61
Trent,4.43.00 - Political science,67
Trent,4.46.00 - Psychology,729
Trent,"4.40.10 - Resource management, environmental studies",442
Trent,4.52.00 - Sociology,236
Trent,Total,"6,824"
UOIT,8.15.00 - Chemistry,163
UOIT,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","1,309"
UOIT,8.06.00 - Computer science,703
UOIT,4.13.00 - Criminology,"1,264"
UOIT,"6.08.00 - Design, systems engineering",95
UOIT,6.09.00 - Electrical engineering,377
UOIT,1.18.00 - Elementary/secondary teacher training,259
UOIT,6.15.00 - Engineering science,23
UOIT,8.12.00 - Mathematics,65
UOIT,6.12.00 - Mechanical engineering,654
UOIT,7.08.00 - Medical specialties,150
UOIT,7.36.00 - Medical Technology,143
UOIT,9.99.98 - Not applicable/none,19
UOIT,7.15.00 - Nursing,671
UOIT,7.06.99 - other basic sciences,699
UOIT,5.09.99 - Other biology,561
UOIT,6.14.00 - Other engineering,719
UOIT,3.17.00 - Other mass communication studies,254
UOIT,8.30.99 - Other physics,63
UOIT,4.46.00 - Psychology,203
UOIT,"4.40.08 - Regional, rural, urban, city planning and community development",21
UOIT,4.52.00 - Sociology,35
UOIT,Total,"8,472"
Waterloo,4.03.00 - Anthropology,56
Waterloo,6.03.00 - Architecture,460
Waterloo,5.06.00 - Biochemistry,338
Waterloo,5.12.00 - Biophysics,14
Waterloo,6.06.00 - Chemical engineering,816
Waterloo,8.15.00 - Chemistry,242
Waterloo,6.07.00 - Civil engineering,812
Waterloo,"3.03.00 - Classics, classical and dead languages",33
Waterloo,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","2,816"
Waterloo,8.06.00 - Computer science,"2,409"
Waterloo,"6.08.00 - Design, systems engineering",522
Waterloo,4.27.00 - Economics,528
Waterloo,6.09.00 - Electrical engineering,"1,391"
Waterloo,6.16.00 - Engineering general,221
Waterloo,3.05.00 - English language and/or literature,522
Waterloo,7.24.00 - Epidemiology and public health,73
Waterloo,2.03.00 - Fine art,168
Waterloo,3.06.00 - French language and/or literature,118
Waterloo,0.00.02 - General Arts,"1,402"
Waterloo,0.00.00 - General Arts and Science,96
Waterloo,0.00.08 - General Science,"1,517"
Waterloo,4.30.00 - Geography,730
Waterloo,8.18.00 - Geology and related,272
Waterloo,3.09.00 - History,216
Waterloo,6.10.00 - Industrial engineering,378
Waterloo,0.00.01 - Interdisciplinary Studies,161
Waterloo,"1.40.00 - Kinesiology, human kinetics and kinanthropology","1,019"
Waterloo,4.33.00 - Law and jurisprudence,281
Waterloo,8.12.00 - Mathematics,"3,329"
Waterloo,6.12.00 - Mechanical engineering,"1,756"
Waterloo,2.05.00 - Music,29
Waterloo,7.18.00 - Optometry,394
Waterloo,5.09.99 - Other biology,"1,366"
Waterloo,6.14.00 - Other engineering,"2,093"
Waterloo,7.99.00 - Other health professions and occupations,584
Waterloo,3.11.99 - Other languages and literatures,17
Waterloo,2.08.00 - Other performing arts,60
Waterloo,8.30.99 - Other physics,457
Waterloo,7.21.00 - Pharmacy,373
Waterloo,3.21.00 - Philosophy,44
Waterloo,1.39.00 - Physical education,35
Waterloo,4.43.00 - Political science,346
Waterloo,4.46.00 - Psychology,784
Waterloo,4.14.01 - Public administration,44
Waterloo,1.41.00 - Recreation,468
Waterloo,"4.40.08 - Regional, rural, urban, city planning and community development",653
Waterloo,3.24.00 - Religious studies,32
Waterloo,"4.40.10 - Resource management, environmental studies","1,032"
Waterloo,3.11.04 - Slavic languages and literatures,29
Waterloo,4.49.00 - Social work and social welfare,483
Waterloo,4.52.00 - Sociology,141
Waterloo,"3.25.00 - Theological studies (professional programme, preparation for the ministry)",13
Waterloo,Total,"32,187"
Western,7.06.04 - anatomy,33
Western,4.03.00 - Anthropology,164
Western,4.09.20 - Asian studies,15
Western,8.30.01 - Astronomy,39
Western,7.27.02 - Aural and oral rehabilitation,111
Western,7.06.06 - biochemistry,84
Western,5.06.00 - Biochemistry,135
Western,7.06.08 - biophysics,123
Western,4.08.00 - Canadian studies,12
Western,6.06.00 - Chemical engineering,305
Western,8.15.00 - Chemistry,236
Western,6.07.00 - Civil engineering,222
Western,"3.03.00 - Classics, classical and dead languages",64
Western,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","4,992"
Western,8.06.00 - Computer science,211
Western,7.03.00 - Dentistry (professional programme),266
Western,"6.08.00 - Design, systems engineering",130
Western,4.27.00 - Economics,403
Western,6.09.00 - Electrical engineering,149
Western,1.18.00 - Elementary/secondary teacher training,814
Western,6.16.00 - Engineering general,451
Western,3.05.00 - English language and/or literature,674
Western,7.24.00 - Epidemiology and public health,64
Western,2.03.00 - Fine art,246
Western,5.18.08 - Food science and nutrition,526
Western,3.06.00 - French language and/or literature,201
Western,0.00.02 - General Arts,"3,158"
Western,0.00.08 - General Science,829
Western,5.09.10 - Genetics,165
Western,4.30.00 - Geography,237
Western,8.18.00 - Geology and related,180
Western,1.38.05 - Guidance and counselling,35
Western,3.09.00 - History,563
Western,3.10.00 - Journalism,37
Western,"1.40.00 - Kinesiology, human kinetics and kinanthropology","1,358"
Western,4.33.00 - Law and jurisprudence,491
Western,3.12.00 - Library science,233
Western,3.14.00 - Linguistics,32
Western,8.12.00 - Mathematics,327
Western,6.12.00 - Mechanical engineering,359
Western,7.08.00 - Medical specialties,52
Western,7.05.00 - Medicine (professional programme),"1,496"
Western,7.10.10 - microbiology,165
Western,2.05.00 - Music,533
Western,9.99.98 - Not applicable/none,18
Western,7.15.00 - Nursing,899
Western,7.27.04 - Occupational therapy,110
Western,7.06.99 - other basic sciences,"2,747"
Western,5.09.99 - Other biology,"1,245"
Western,6.14.00 - Other engineering,411
Western,5.18.99 - Other household science and related,324
Western,3.11.99 - Other languages and literatures,70
Western,3.17.00 - Other mass communication studies,"1,051"
Western,1.38.99 - Other non-teaching fields,142
Western,8.30.99 - Other physics,90
Western,7.10.14 - pathology,24
Western,7.06.26 - pharmacology,116
Western,3.21.00 - Philosophy,533
Western,7.27.06 - Physical therapy,410
Western,7.06.28 - physiology,325
Western,4.43.00 - Political science,"1,621"
Western,4.46.00 - Psychology,"1,132"
Western,4.14.01 - Public administration,10
Western,3.24.00 - Religious studies,103
Western,"4.40.10 - Resource management, environmental studies",90
Western,4.49.00 - Social work and social welfare,102
Western,4.52.00 - Sociology,760
Western,"3.25.00 - Theological studies (professional programme, preparation for the ministry)",53
Western,5.25.00 - Toxicology,155
Western,Total,"33,486"
Wilfrid Laurier,4.03.00 - Anthropology,66
Wilfrid Laurier,4.06.00 - Archaeology,149
Wilfrid Laurier,8.15.00 - Chemistry,193
Wilfrid Laurier,"3.03.00 - Classics, classical and dead languages",56
Wilfrid Laurier,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","3,542"
Wilfrid Laurier,8.06.00 - Computer science,120
Wilfrid Laurier,4.13.00 - Criminology,598
Wilfrid Laurier,4.27.00 - Economics,741
Wilfrid Laurier,1.18.00 - Elementary/secondary teacher training,242
Wilfrid Laurier,3.05.00 - English language and/or literature,"1,418"
Wilfrid Laurier,3.06.00 - French language and/or literature,72
Wilfrid Laurier,0.00.02 - General Arts,"1,496"
Wilfrid Laurier,0.00.08 - General Science,100
Wilfrid Laurier,4.30.00 - Geography,193
Wilfrid Laurier,3.09.00 - History,355
Wilfrid Laurier,3.10.00 - Journalism,94
Wilfrid Laurier,4.33.00 - Law and jurisprudence,93
Wilfrid Laurier,8.12.00 - Mathematics,126
Wilfrid Laurier,2.05.00 - Music,324
Wilfrid Laurier,9.99.98 - Not applicable/none,215
Wilfrid Laurier,2.14.99 - Other applied arts,29
Wilfrid Laurier,4.09.99 - Other area studies,724
Wilfrid Laurier,5.09.99 - Other biology,720
Wilfrid Laurier,7.99.00 - Other health professions and occupations,382
Wilfrid Laurier,3.11.99 - Other languages and literatures,11
Wilfrid Laurier,1.38.99 - Other non-teaching fields,987
Wilfrid Laurier,8.30.99 - Other physics,26
Wilfrid Laurier,3.21.00 - Philosophy,112
Wilfrid Laurier,1.39.00 - Physical education,549
Wilfrid Laurier,4.43.00 - Political science,284
Wilfrid Laurier,4.46.00 - Psychology,"1,079"
Wilfrid Laurier,3.24.00 - Religious studies,70
Wilfrid Laurier,"4.40.10 - Resource management, environmental studies",179
Wilfrid Laurier,4.49.00 - Social work and social welfare,242
Wilfrid Laurier,4.52.00 - Sociology,546
Wilfrid Laurier,"3.25.00 - Theological studies (professional programme, preparation for the ministry)",70
Wilfrid Laurier,Total,"16,203"
Windsor,4.03.00 - Anthropology,41
Windsor,5.06.00 - Biochemistry,220
Windsor,8.15.00 - Chemistry,236
Windsor,6.07.00 - Civil engineering,212
Windsor,"3.03.00 - Classics, classical and dead languages",22
Windsor,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","1,649"
Windsor,8.06.00 - Computer science,303
Windsor,4.13.00 - Criminology,509
Windsor,4.27.00 - Economics,100
Windsor,6.09.00 - Electrical engineering,423
Windsor,1.18.00 - Elementary/secondary teacher training,552
Windsor,6.16.00 - Engineering general,70
Windsor,3.05.00 - English language and/or literature,422
Windsor,2.03.00 - Fine art,220
Windsor,3.06.00 - French language and/or literature,186
Windsor,0.00.02 - General Arts,97
Windsor,0.00.08 - General Science,169
Windsor,8.18.00 - Geology and related,47
Windsor,3.09.00 - History,265
Windsor,6.10.00 - Industrial engineering,120
Windsor,0.00.01 - Interdisciplinary Studies,324
Windsor,3.10.00 - Journalism,42
Windsor,4.33.00 - Law and jurisprudence,617
Windsor,8.12.00 - Mathematics,116
Windsor,6.12.00 - Mechanical engineering,503
Windsor,6.13.00 - Metallurgical engineering,41
Windsor,2.05.00 - Music,146
Windsor,9.99.98 - Not applicable/none,12
Windsor,7.15.00 - Nursing,861
Windsor,4.09.99 - Other area studies,14
Windsor,5.09.99 - Other biology,686
Windsor,6.14.00 - Other engineering,86
Windsor,3.11.99 - Other languages and literatures,38
Windsor,3.17.00 - Other mass communication studies,309
Windsor,2.08.00 - Other performing arts,289
Windsor,8.30.99 - Other physics,78
Windsor,3.21.00 - Philosophy,36
Windsor,1.39.00 - Physical education,817
Windsor,4.43.00 - Political science,340
Windsor,4.46.00 - Psychology,998
Windsor,"4.40.10 - Resource management, environmental studies",103
Windsor,4.49.00 - Social work and social welfare,920
Windsor,4.52.00 - Sociology,469
Windsor,Total,"13,710"
York,8.30.02 - Aerospace sciences,60
York,4.03.00 - Anthropology,233
York,4.09.20 - Asian studies,53
York,8.30.01 - Astronomy,165
York,5.06.00 - Biochemistry,78
York,5.12.00 - Biophysics,29
York,4.08.00 - Canadian studies,26
York,8.15.00 - Chemistry,604
York,"3.03.00 - Classics, classical and dead languages",46
York,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","6,825"
York,8.06.00 - Computer science,923
York,4.13.00 - Criminology,688
York,4.27.00 - Economics,"1,520"
York,1.18.00 - Elementary/secondary teacher training,674
York,3.05.00 - English language and/or literature,"1,567"
York,2.03.00 - Fine art,716
York,3.06.00 - French language and/or literature,599
York,0.00.02 - General Arts,"1,917"
York,0.00.08 - General Science,154
York,4.30.00 - Geography,380
York,4.14.02 - Health administration,"1,096"
York,3.09.00 - History,"1,040"
York,2.14.01 - Industrial design,106
York,0.00.01 - Interdisciplinary Studies,127
York,"1.40.00 - Kinesiology, human kinetics and kinanthropology","2,635"
York,4.33.00 - Law and jurisprudence,"1,026"
York,3.14.00 - Linguistics,260
York,8.12.00 - Mathematics,466
York,2.05.00 - Music,650
York,7.15.00 - Nursing,"1,142"
York,2.14.99 - Other applied arts,929
York,4.09.99 - Other area studies,506
York,5.09.99 - Other biology,"1,557"
York,6.14.00 - Other engineering,226
York,3.11.99 - Other languages and literatures,"1,166"
York,3.17.00 - Other mass communication studies,860
York,8.24.99 - Other meteorology,88
York,2.08.00 - Other performing arts,831
York,4.14.99 - Other specialized administration studies,951
York,3.21.00 - Philosophy,413
York,4.43.00 - Political science,"1,708"
York,4.46.00 - Psychology,"4,354"
York,4.14.01 - Public administration,188
York,"4.40.08 - Regional, rural, urban, city planning and community development",79
York,3.24.00 - Religious studies,59
York,"4.40.10 - Resource management, environmental studies","1,063"
York,4.49.00 - Social work and social welfare,544
York,4.52.00 - Sociology,"3,744"
York,3.27.00 - Translation and interpretation,93
York,Total,"45,164"
Dominician,9.99.98 - Not applicable/none,15
Dominician,3.21.00 - Philosophy,53
Dominician,"3.25.00 - Theological studies (professional programme, preparation for the ministry)",39
Dominician,Total,107
Total,,"419,963"
